,Name of Dam,Year Completed,River,Location,Type,Height (m),Length (m),Volume content (103m3),Gross Storage Capacity (103m3),Reservoir Area (103m2),Effective Storage Capacity (103m3),Purpose,Designed Spillway Cap m3per sec
0,Dhamapur,1600,Malvan,Sindhudurg,Earthfill,11,217,2687,,,,Irrigation,9.85
1,Vihar,1860,Vihar,Mumbai,Earthfill,25.6,817,353,41459.00,7270,41410.00,Water Supply,
2,Ekrukh,1871,Adela,Solapur,Earthfill,21.45,2360,130,61170.00,,61170.00,Irrigation  Water Supply,1239
3,Shirsufal,1879,local,"Pune, Baramati",Earthfill,20.11,741,,10100.00,1601,9520.00,Irrigation,112
4,Tulshi,1879,Tulshi,Mumbai,EarthfillGravity,26,186,,10429.00,1350,10273.00,Water supply,640
5,Khadakwasla,1880,Mutha,"Pune, Khadakwasala",EarthfillGravity,32.9,1539,1170,86000.00,14800,560000.00,Irrigation  Water supply,2755
6,Ashti,1883,Ashti,"Solapur, Mohol",Earthfill,17.6,3871,,40000.00,,23000.00,Irrigation,1359
7,Mhaswad,1887,Man,"Satara, Man",Earthfill,24,2473,,47880.00,16251,46210.00,Irrigation,4321.41
8,Tansa,1892,Tansa,Mumbai,EarthfillGravity,41,2804,2670,208700.00,19.1,184600.00,Water supply,1188.6
9,Shetfal,1901,Shetfal Nalla,"Pune, Indapur",Earthfill,20.11,3211,173,17360.00,3498,1693.00,Irrigation,
10,Khairbandha,1903,Fattepur,Gondia,Earthfill,18.16,2205,243.52,16798.00,4147,15953.00,Irrigation,363.3
11,Pathari,1905,local,"Solapur, Barshi",Earthfill,18.43,2070,,11880.00,,11620.00,Irrigation,512
12,Chankapur,1911,Girna,Kalwan,Earthfill,41,3705,2123,79690.00,10320,76850.00,Irrigation,2237
13,Ramtek,1913,Sur,Ramtek,Earthfill,22.2,229,1300,105130.00,21270,103000.00,Irrigation,515
14,Chandpur,1915,Chandpur,Tumsar,Earthfill,19,1051,80.36,29025.00,9072,28879.00,Irrigation,339.25
15,Walwan,1916,Indrayani,"Pune, Lonavala",Gravity,26.36,1356,182,72500.00,14250,72122.00,Hydroelectricity,171
16,Darna,1916,Darna,"Nashik, Igatpuri",Gravity,28,1634,1886.1,226870.00,34750,209820.00,Irrigation,3336
17,Bodalkasa,1917,Bhagdeogoti,Tiroda,Earthfill,19.2,510,107.62,17392.00,6450,16454.00,Irrigation,206.63
18,Asolamendha,1918,local,Shindewahi,Earthfill,18.08,1376.52,350,67015.00,1880,56375.00,Irrigation,758
19,Shirvata,1920,Indrayani,"Pune, Lonavala",Gravity,38.71,2212,460,185980.00,13.08,185110.00,Hydroelectricity,593
20,Thokarwadi,1922,Indrayani,"Pune, Maval",Gravity,59.44,741,212,363700.00,24.3,321200.00,Hydroelectricity,546
21,Chorkhamara,1923,Sasanda,Tiroda,Earthfill,21.05,1178,300,21051.00,5235,20800.00,Irrigation,264.94
22,Ghorazari,1923,Gorazari,Nagbhir,Earthfill,23.55,731.7,90,45080.00,976,38000.00,Irrigation,320
23,Bhandardara,1926,Paravara,Ahmednagar,Gravity,82.35,2717,335,312400.00,743.18,307310.00,Irrigation,1503
24,Bhatghar,1927,Velvandi,"Pune, Bhor",Gravity,57.92,1625,650,670650.00,31900,666000.00,Irrigation  Hydroelectricity,1599
25,Mulshi,1927,Mula,"Pune, Mulashi",Gravity,48.8,1533.38,,52230.00,3802,,Hydroelectricity,1892
26,Mas,1932,Mas,Khamgaon,Earthfill,17.71,663,399,17500.00,4810,15040.00,Irrigation,1753
27,Ghanewadi,1935,Kundlika,Jalna,Earthfill,15,836,,14440.00,,,Water Supply,
28,Visapur,1936,Hanga,Srigonda,Earthfill,26,2692,130,33320.00,,33320.00,Irrigation,2627
29,Radhanagari,1954,Bhogawati,Radhanagari,Gravity,42.68,1143,,236810.00,18218,220000.00,Irrigation  Hydroelectricity,1133
30,Vaitarna (Modaksagar),1954,Vaitarna,Mumbai,Gravity,82,567.07,0.06,204980.00,8.39,174790.00,Water supply,5660
31,Purmepeda,1955,Bori,Dhule,Earthfill,24.7,1500,525,13550.00,303,12960.00,Irrigation,2141
32,Khasapur,1956,local,Paranda,Earthfill,23.78,1882,,19830.00,430,15830.00,Irrigation,2863
33,Dheku,1960,Dheku,Vaijapur,Earthfill,20,2421,137,14000.00,447,12160.00,Irrigation,1945
34,Sindphana,1963,Sindphana,Patoda,Earthfill,19.05,1937,12593,12600.00,5068,10810.00,Irrigation,1857
35,Ekburji,1964,Chandrabhaga,Washim,Earthfill,23.7,830,566,14100.00,218,11960.00,Irrigation,1001
36,Khelocala,1964,Khelocala,Sillod,Earthfill,21,759,588,13000.00,3678,11070.00,Irrigation,1518
